"bumble10"	"bumble111"	"bumble112"	"bumble113"	"bumble114"	"bumble116"	"bumble117"	"bumble118"	"bumble119"	"bumble11"	"bumble120"	"bumble121"	"bumble123"	"bumble124"	"bumble126"	"bumble129"	"bumble12"	"bumble130"	"bumble131"	"bumble133"	"bumble138"	"bumble139"	"bumble13"	"bumble14"	"bumble15"	"bumble16"	"bumble17"	"bumble18"	"bumble1"	"bumble20"	"bumble21"	"bumble22"	"bumble23"	"bumble25"	"bumble26"	"bumble27"	"bumble28"	"bumble30"	"bumble31"	"bumble32"	"bumble33"	"bumble34"	"bumble35"	"bumble36"	"bumble37"	"bumble38"	"bumble39"	"bumble40"	"bumble41"	"bumble42"	"bumble43"	"bumble44"	"bumble45"	"bumble46"	"bumble47"	"bumble48"	"bumble49"	"bumble50"	"bumble51"	"bumble52"	"bumble53"	"bumble54"	"bumble55"	"bumble6"	"bumble7"	"bumble9"	"honey100"	"honey101"	"honey102"	"honey108"	"honey109"	"honey135"	"honey56"	"honey57"	"honey58"	"honey59"	"honey60"	"honey61"	"honey62"	"honey63"	"honey64"	"honey65"	"honey66"	"honey67"	"honey68"	"honey70"	"honey71"	"honey72"	"honey73"	"honey74"	"honey75"	"honey76"	"honey77"	"honey78"	"honey79"	"honey80"	"honey81"	"honey82"	"honey83"	"honey84"	"honey85"	"honey86"	"honey87"	"honey88"	"honey89"	"honey90"	"honey91"	"honey92"	"honey93"	"honey94"	"honey95"	"honey96"	"honey97"	"honey98"	"honey99"
"ASV140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378071833648393	0	0	0	0	0	0	0	0	0	0	0	0.0396975425330813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00756143667296786	0	0	0.00756143667296786	0	0	0	0	0	0.00756143667296786	0	0	0	0	0	0.0189035916824197	0	0
"ASV281"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189035916824197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV175"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378071833648393	0	0.00189035916824197	0	0	0	0	0.0056710775047259	0	0	0	0	0.00378071833648393	0	0	0	0	0	0	0	0	0	0.00756143667296786	0	0.0056710775047259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV151"	0	0	0	0	0	0	0	0	0	0	0.00378071833648393	0	0.0132325141776938	0	0	0	0	0	0	0	0	0	0	0	0.00945179584120983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113421550094518	0	0	0	0	0	0	0	0	0	0	0.0056710775047259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00945179584120983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV52"	0	0	0	0	0	0	0	0	0	0	0.0132325141776938	0	0.0737240075614367	0	0.0189035916824197	0	0.00378071833648393	0	0	0	0	0	0	0	0	0	0	0	0.00189035916824197	0.00378071833648393	0	0	0	0.00378071833648393	0.0056710775047259	0	0	0.0056710775047259	0	0	0	0	0	0	0	0	0.00189035916824197	0.0151228733459357	0	0.0245746691871456	0.00189035916824197	0	0	0	0.0056710775047259	0	0	0	0	0.0226843100189036	0.0888468809073724	0	0.0170132325141777	0	0	0.0170132325141777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV207"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00945179584120983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV227"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056710775047259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV67"	0	0	0	0	0	0	0	0	0	0	0.0264650283553875	0	0.0378071833648393	0	0	0	0.00378071833648393	0	0	0	0	0	0.107750472589792	0	0.0359168241965974	0	0	0	0	0	0	0	0	0	0	0	0	0.00756143667296786	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00756143667296786	0.00189035916824197	0	0	0	0	0.00189035916824197	0	0	0	0	0.0491493383742911	0	0	0.0264650283553875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV168"	0	0	0	0	0	0	0	0	0	0	0.00378071833648393	0	0.0132325141776938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378071833648393	0	0	0	0.00189035916824197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056710775047259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
